firma;website;notiz;manual_review;tier;trust;gap;voice_fit;google_rating;google_reviews;reasons;score;ort;adresse;telefon;maps_url;query;discovered;place_id
GH Sanitär GmbH;https://www.gh-sanitaer.ch/;;;COLD;5;2;2;5;12;"Trust 5: 5★ × 12 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Widmenwiesstrasse 26;Widmenwiesstrasse 26, 8620 Wetzikon;076 306 56 12;https://maps.google.com/?cid=11707244571259006684&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Heizung Uster;2026-06-16;ChIJMRHE_YO7mkcR3G6D8Oh8eKI
A-Z Bauservice;https://a-zbauservice.ch/;;;COLD;5;2;2;5;15;"Trust 5: 5★ × 15 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Greifenseestrasse 25;Greifenseestrasse 25, 8604 Volketswil;076 584 47 47;https://maps.google.com/?cid=15244445566372446936&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Heizung Uster;2026-06-16;ChIJS9zJJoajmkcR2IJoXXkmj9M
Colapelle - Sanitär, Heizung & Lüftung;https://www.colapelle-sanitaer.ch/;;;COLD;5;2;3;5;143;"Trust 5: 5★ × 143 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 3 Gewerke im Namen; Disq: 143 Reviews — Grossbetrieb";4;Bergholzweg 26;Bergholzweg 26, 8123 Maur;076 575 06 14;https://maps.google.com/?cid=1795042135587439186&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Uster;2026-06-16;ChIJacZLFP-lmkcRUkKM0E9F6Rg
Bassler HausTechCare;https://www.bassler-haustechcare.ch/;;;COLD;5;2;1;5;26;"Trust 5: 5★ × 26 Reviews; M1=2: hat Website; M2+1: erweitert, nicht 24/7";4;Freiestrasse 55;Freiestrasse 55, 8610 Uster;076 534 57 87;https://maps.google.com/?cid=3772292234095162719&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Uster;2026-06-16;ChIJwXSr2yzp-UsRX_U06szfWTQ
Legler Sanitär;http://www.leglersanitaer.ch/;;;COLD;2;2;1;5;2;"Trust 2: 2 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Wermatswilerstrasse 8A;Wermatswilerstrasse 8A, 8610 Uster;079 678 95 43;https://maps.google.com/?cid=13135653991734007972&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Uster;2026-06-16;ChIJP9H2-c6lmkcRpFi_tbU3S7Y
Grimm + Kreutzer GmbH;http://grimm-kreutzer.ch/;;;COLD;3;2;1;4.3;4;"Trust 3: 4.3★ × 4 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Aathalstrasse 3;Aathalstrasse 3, 8610 Uster;043 366 53 54;https://maps.google.com/?cid=8187550677363515937&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Uster;2026-06-16;ChIJZ6KaWKmkmkcRIeLCKPYFoHE
Eisenhart AG, Elektrische Heizungen, Apparatebau;http://www.eisenhart.ch/;;;COLD;2;2;1;5;1;"Trust 2: 1 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Uster West 48;Uster West 48, 8610 Uster;044 945 42 51;https://maps.google.com/?cid=15524380123111471215&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Uster;2026-06-16;ChIJmc3dT2ejmkcRb7gxZHitcdc
Planungsgemeinschaft Haustechnik;http://www.plg.ch/;;;COLD;2;2;1;5;1;"Trust 2: 1 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Steigstrasse 4;Steigstrasse 4, 8610 Uster;044 941 11 12;https://maps.google.com/?cid=9944677944821041292&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Uster;2026-06-16;ChIJfahizVK7mkcRjEi40uaXAoo
Viterma Badsanierung;https://www.viterma.com/standort/badsanierung-volketswil/?utm_source=googlemybusiness&utm_medium=organic;;;COLD;4;2;1;4.4;20;"Trust 4: 4.4★ × 20 Reviews; M1=2: hat Website; M2+1: erweitert, nicht 24/7";4;Industriestrasse 18;Industriestrasse 18, 8604 Volketswil;0800 248 833;https://maps.google.com/?cid=717156174227952646&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Uster;2026-06-16;ChIJf0Awom-jmkcRBtRVpb3Z8wk
Dino Sanitär GmbH;https://www.dinosanitaer.ch/;;;COLD;4;2;1;4.4;19;"Trust 4: 4.4★ × 19 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Schwerzenbachstrasse 1;Schwerzenbachstrasse 1, 8117 Fällanden;078 637 62 10;https://maps.google.com/?cid=11564874075691307167&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Uster;2026-06-16;ChIJwzBFeFihmkcRn1C00bKvfqA
Elka das Baukollektiv;https://www.elka-bau.ch/;;;COLD;5;2;1;5;24;"Trust 5: 5★ × 24 Reviews; M1=2: hat Website; M2+1: erweitert, nicht 24/7";4;Industriestrasse 49a;Industriestrasse 49a, 8304 Wallisellen;044 830 33 44;https://maps.google.com/?cid=801751349029758054&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Uster;2026-06-16;ChIJ2_CD8hwNkEcRZuQbpZpkIAs
Sanitär Trachsel GmbH;http://www.sanitaer-trachsel.ch/;;;COLD;5;2;2;5;125;"Trust 5: 5★ × 125 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); Disq: 125 Reviews — Grossbetrieb";3;Lohwisstrasse 52;Lohwisstrasse 52, 8123 Maur;044 980 81 78;https://maps.google.com/?cid=17249202079310935008&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Heizung Uster;2026-06-16;ChIJ5Z6YlsG6mkcR4PNBpOZ5Ye8
Sanitär-Shop Uster, Sanitas Troesch;https://www.sanitastroesch.ch/shop-uster;;;COLD;5;2;2;4.7;11;"Trust 5: 4.7★ × 11 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); Disq: Enterprise/Kette";0;Aathalstrasse 82;Aathalstrasse 82, 8610 Uster;055 225 15 70;https://maps.google.com/?cid=1067515036682569683&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Uster;2026-06-16;ChIJPZjNjUq7mkcR00faGUWT0A4
Schönau Sanitär + Heizung AG;;;;HOT;1;5;3;;;"Trust 1: auf Maps, 0 Reviews; M1=5: keine Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";9;Eggstrasse 58a;Eggstrasse 58a, 8620 Wetzikon;044 950 11 44;https://maps.google.com/?cid=4286326927248621196&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Wetzikon;2026-06-16;ChIJ6cjP2-u7mkcRjH7YYaEXfDs
GN Haustechnik GmbH;;;;HOT;2;5;3;5;2;"Trust 2: 2 Reviews; M1=5: keine Website; M2+2: Notdienst/Sanitär; M2+1: keine Öffnungszeiten (Standard angenommen)";9;Grüenaustrasse 2;Grüenaustrasse 2, 8624 Grüt;044 932 19 90;https://maps.google.com/?cid=1300514964517495788&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Wetzikon;2026-06-16;ChIJrwLpSU26mkcR7CMlRXhbDBI
Rüegg AG Spengler Sanitär Heizung Solar;http://www.rubema.ch/;;;HOT;5;2;5;4.8;27;"Trust 5: 4.8★ × 27 Reviews; M1=2: hat Website; M2+2: Notdienst/Sanitär; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";8;Im Tobel 4;Im Tobel 4, 8340 Hinwil;044 937 10 10;https://maps.google.com/?cid=9785975280384251903&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Wetzikon;2026-06-16;ChIJy-nGRrO5mkcR_5cOUKvEzoc
Sunier AG Sanitär + Heizung;http://www.sunier.ch/;;;HOT;5;2;5;4.8;13;"Trust 5: 4.8★ × 13 Reviews; M1=2: hat Website; M2+2: Notdienst/Sanitär; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";8;Mühlestrasse 9;Mühlestrasse 9, 8344 Bäretswil;044 939 12 51;https://maps.google.com/?cid=3277508170781346352&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Wetzikon;2026-06-16;ChIJB8GhUDa5mkcRMMrc-1AMfC0
planerpartner GmbH Haustechnikplanung Heizung, Lüftung, Sanitär;http://www.planerpartner.ch/;;;WARM;4;2;3;4.4;19;"Trust 4: 4.4★ × 19 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 4 Gewerke im Namen";6;Motorenstrasse 100A;Motorenstrasse 100A, 8620 Wetzikon;043 817 20 20;https://maps.google.com/?cid=14134559818809861142&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Wetzikon;2026-06-16;ChIJB_CUq5a7mkcRFuSrYEQLKMQ
Gebrüder Kessler AG;http://kessler-gk.ch/;;;WARM;5;2;3;4.9;12;"Trust 5: 4.9★ × 12 Reviews; M1=2: hat Website; M2+1: Reparatur-nah; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";6;Binzikerstrasse 82;Binzikerstrasse 82, 8627 Grüningen;044 935 11 34;https://maps.google.com/?cid=11370797256737254948&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Wetzikon;2026-06-16;ChIJsd7JVIe6mkcRJG7PJNwvzZ0
Laski - Haustechnik GmbH;https://laski-haustechnik.digitalone.site/;;;WARM;3;3;2;5;3;"Trust 3: 5★ × 3 Reviews; M1=3: Baukasten-Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";6;Adetswilerstrasse 3A;Adetswilerstrasse 3A, 8344 Bäretswil;079 908 19 86;https://maps.google.com/?cid=14951048164406402857&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Wetzikon;2026-06-16;ChIJBfTACgC_mkcRKR8zaxfLfM8
Nikollbibaj GmbH - Sanitär & Heizung;http://www.nikollbibaj.ch/;;;WARM;4;2;3;5;7;"Trust 4: 5★ × 7 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";6;Weiherstrasse 5;Weiherstrasse 5, 8625 Gossau;043 537 00 48;https://maps.google.com/?cid=18031973771837139353&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Heizung Wetzikon;2026-06-16;ChIJN1Y39VW7mkcRmWmDpZtwPvo
Leutenegger Installations AG;http://www.leutenegger-insta.ch/;;;WARM;4;2;3;4;23;"Trust 4: 4★ × 23 Reviews; M1=2: hat Website; M2+1: Reparatur-nah; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";6;Industriestrasse 39;Industriestrasse 39, 8625 Gossau;044 936 65 65;https://maps.google.com/?cid=17715549839091343515&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Heizung Wetzikon;2026-06-16;ChIJQQXvD-W6mkcRm6DEt7dG2vU
A.Schleh AG;http://www.schleh.ch/;;;COLD;5;2;2;4.6;25;"Trust 5: 4.6★ × 25 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Motorenstrasse 53;Motorenstrasse 53, 8620 Wetzikon;043 931 40 40;https://maps.google.com/?cid=263113259187590500&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Wetzikon;2026-06-16;ChIJ25F1rJS7mkcRZFWSfR3EpgM
Wetter Gebäudetechnik AG;http://www.wetter-wetzikon.ch/;;;COLD;5;2;2;4.5;11;"Trust 5: 4.5★ × 11 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Buchgrindelstrasse 7;Buchgrindelstrasse 7, 8620 Wetzikon;044 933 30 60;https://maps.google.com/?cid=8107648923501499967&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Wetzikon;2026-06-16;ChIJiRkyw5e7mkcRP5biYL0nhHA
Inag Gebäudetechnik AG;http://www.inag.ag/;;;COLD;4;2;2;5;9;"Trust 4: 5★ × 9 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Pfadacher 5;Pfadacher 5, 8623 Wetzikon;044 931 70 90;https://maps.google.com/?cid=893111313271741691&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Wetzikon;2026-06-16;ChIJOR6FJwC7mkcR-9xx7AH4ZAw
E. Schneiter GmbH;http://www.schneiter-heizungen.ch/;;;COLD;3;2;2;4;4;"Trust 3: 4★ × 4 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Kratzstrasse 14;Kratzstrasse 14, 8620 Wetzikon;044 932 78 54;https://maps.google.com/?cid=17119747152930227771&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Wetzikon;2026-06-16;ChIJ8zKEhbi7mkcRO0bpzlSPle0
Richner - Handwerkerzentrum;https://www.baubedarf-richner-miauton.ch/de/standorte/show/Wetzikon/?utm_medium=organic&utm_source=google-map&utm_campaign=gmb-channel&utm_content=richner-hwz&utm_term=wetzikon;;;COLD;3;2;2;3.7;3;"Trust 3: 3.7★ × 3 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Zürcherstrasse 71;Zürcherstrasse 71, 8620 Wetzikon;052 244 01 92;https://maps.google.com/?cid=14217481840668043500&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Wetzikon;2026-06-16;ChIJ3xY1Z6K7mkcR7OiVGWikTsU
Bolter Haustechnik GmbH;https://www.bolterhaustechnik.ch/;;;COLD;5;2;2;4.9;30;"Trust 5: 4.9★ × 30 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Rickenstrasse 4;Rickenstrasse 4, 8634 Hombrechtikon;079 259 30 17;https://maps.google.com/?cid=7499783293517348973&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Wetzikon;2026-06-16;ChIJgSiAMoKxmkcRbcCCfiuVFGg
Strubreither Sanitär Service und Sprühnebel Anlagen;http://www.strubreither.ch/index.htm;;;COLD;5;2;2;5;10;"Trust 5: 5★ × 10 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Wässeristrasse 37;Wässeristrasse 37, 8340 Hinwil;044 535 00 60;https://maps.google.com/?cid=18157128100645887941&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Wetzikon;2026-06-16;ChIJH-e49YG5mkcRxd9ClM4T-_s
Wiesendanger & Partner;http://www.wpsanitaer.ch/;;;COLD;5;2;2;4.5;12;"Trust 5: 4.5★ × 12 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Hochstrasse 138;Hochstrasse 138, 8330 Pfäffikon;044 950 15 15;https://maps.google.com/?cid=17905801238496698356&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Wetzikon;2026-06-16;ChIJ1dnbu2W8mkcR9F9Yf1svfvg
LeHa Haustechnik;https://leha-haustechnik.ch/;;;COLD;1;2;2;;;"Trust 1: auf Maps, 0 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Binzackerstrasse 29;Binzackerstrasse 29, 8620 Wetzikon;076 281 07 80;https://maps.google.com/?cid=1335888016291502173&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Wetzikon;2026-06-16;ChIJBw_KuWC7mkcRXZjBrhIHihI
SPÖRRI GEBÄUDETECHNIK AG;http://www.spgag.ch/;;;COLD;4;2;2;5;5;"Trust 4: 5★ × 5 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Wiesenstrasse 4;Wiesenstrasse 4, 8620 Wetzikon;044 552 22 88;https://maps.google.com/?cid=17915036701114657013&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Wetzikon;2026-06-16;ChIJc69iIce7mkcR9WgGNPb-nvg
pluritec planteam gmbh;http://pluritec.ch/;;;COLD;1;2;2;;;"Trust 1: auf Maps, 0 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Usterstrasse 56;Usterstrasse 56, 8620 Wetzikon;044 521 85 15;https://maps.google.com/?cid=17808644702340313798&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Wetzikon;2026-06-16;ChIJH4mJR0q7mkcRxvIipgAEJfc
EM Aquatherm;https://www.em-aquatherm.ch/;;;COLD;4;2;2;5;5;"Trust 4: 5★ × 5 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Binzackerstrasse 37;Binzackerstrasse 37, 8620 Wetzikon;043 488 08 07;https://maps.google.com/?cid=2914469922728846834&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Wetzikon;2026-06-16;ChIJV3tuYlShmkcR8iXQBPRGcig
Arthur Weber AG c/o BRINER Wetzikon, Abholshop;http://www.brinerag.ch/;;;COLD;1;2;2;;;"Trust 1: auf Maps, 0 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Zürcherstrasse 71;Zürcherstrasse 71, 8620 Wetzikon;043 495 21 21;https://maps.google.com/?cid=13992830289655399090&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Wetzikon;2026-06-16;ChIJLd5iVze7mkcRsoI84QKFMMI
F. Tonet GmbH;http://www.ftonet.ch/;;;COLD;4;2;2;4.9;7;"Trust 4: 4.9★ × 7 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Madetswilerstrasse 33;Madetswilerstrasse 33, 8332 Russikon;044 950 38 78;https://maps.google.com/?cid=1832153068434949070&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Wetzikon;2026-06-16;ChIJi8CWI-28mkcRzgM1MoIdbRk
Kaderli Kundenmaurer AG;http://www.kaderlikundenmaurer.ch/;;;COLD;3;2;2;5;3;"Trust 3: 5★ × 3 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Schürlistrasse 11;Schürlistrasse 11, 8344 Bäretswil;044 930 10 37;https://maps.google.com/?cid=11482157034419498834&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Wetzikon;2026-06-16;ChIJ-0G3N-y7mkcRUq_T2_zQWJ8
SHAG AG;https://www.shag-ag.ch/;;;COLD;2;2;2;5;2;"Trust 2: 2 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Vogelsangstrasse 14;Vogelsangstrasse 14, 8307 Illnau-Effretikon;044 888 82 27;https://maps.google.com/?cid=4064665234142802507&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Wetzikon;2026-06-16;ChIJc8jUi3ujmkcRSzL2s36XaDg
Tschopp Sanitär AG;http://www.tschopp-sanitaer.ch/;;;COLD;4;2;2;4.3;6;"Trust 4: 4.3★ × 6 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Schönbodenstrasse 53;Schönbodenstrasse 53, 8640 Rapperswil-Jona;055 220 73 73;https://maps.google.com/?cid=14312780148425973487&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Wetzikon;2026-06-16;ChIJFWA3Qvy2mkcR714xb7Y1ocY
Kurtisi AG;https://www.kurtisi-ag.ch/;;;COLD;4;2;2;4.4;19;"Trust 4: 4.4★ × 19 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Industriestrasse 13;Industriestrasse 13, 8625 Gossau;044 970 11 22;https://maps.google.com/?cid=16699520352902950777&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Heizung Wetzikon;2026-06-16;ChIJAeDgYvm6mkcRea8vekidwOc
Ferri Haustechnik GmbH;http://www.ferri-gmbh.ch/;;;COLD;2;2;1;5;2;"Trust 2: 2 Reviews; M1=2: hat Website; M2+1: erweitert, nicht 24/7";4;Binzackerstrasse 41;Binzackerstrasse 41, 8620 Wetzikon;044 939 15 81;https://maps.google.com/?cid=17597785616216303782&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Wetzikon;2026-06-16;ChIJn5vR1gJ2kEcRpigN6MfkN_Q
Thoma Heizungen AG;http://www.thoma-heizungen.ch/;;;COLD;4;2;1;5;6;"Trust 4: 5★ × 6 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Schönenwerdstrasse 96;Schönenwerdstrasse 96, 8620 Wetzikon;044 932 36 69;https://maps.google.com/?cid=2190405380788111156&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Wetzikon;2026-06-16;ChIJh42Vz3S7mkcRNMf6qxbiZR4
Fritz Gloor AG;http://www.gloor-ing.ch/;;;COLD;3;2;1;4.7;3;"Trust 3: 4.7★ × 3 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Turnhallenstrasse 10;Turnhallenstrasse 10, 8620 Wetzikon;044 938 33 33;https://maps.google.com/?cid=15279279941044958357&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Wetzikon;2026-06-16;ChIJT-xY9cG7mkcRlXS8PSfoCtQ
Bms 3 Haustechnik Und Planung Gmbh;http://bms3.ch/;;;COLD;1;2;2;;;"Trust 1: auf Maps, 0 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); Kein Telefon";4;Sonnenfeldstrasse 7;Sonnenfeldstrasse 7, 8620 Wetzikon;;https://maps.google.com/?cid=3565142091858245091&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Wetzikon;2026-06-16;ChIJT-gccMK7mkcR4_UA99fteTE
Plättli Plus GmbH;http://www.plaettli-plus.ch/;;;COLD;4;2;1;5;9;"Trust 4: 5★ × 9 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Hofstrasse 87;Hofstrasse 87, 8620 Wetzikon;076 336 67 93;https://maps.google.com/?cid=7075358534353801894&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Wetzikon;2026-06-16;ChIJVVXlkXy3mkcRptKvohm5MGI
Käser AG;http://kaeser-ag.ch/;;;COLD;4;2;1;4;5;"Trust 4: 4★ × 5 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Eichbühlstrasse 2;Eichbühlstrasse 2, 8607 Seegräben;044 932 17 17;https://maps.google.com/?cid=13321008966583308968&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Heizung Wetzikon;2026-06-16;ChIJQ-jspHC7mkcRqNL9zhO73bg
Pello-Tech GmbH;https://pello-tech.ch/;;;COLD;5;2;0;5;10;"Trust 5: 5★ × 10 Reviews; M1=2: hat Website; M2+0: 24/7 oder fast";3;Grossensteinstrasse 61;Grossensteinstrasse 61, 8620 Wetzikon;044 545 82 60;https://maps.google.com/?cid=9578092224660465314&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Wetzikon;2026-06-16;ChIJb9VikM67mkcRombRpCE47IQ
