firma;website;notiz;manual_review;tier;trust;gap;voice_fit;google_rating;google_reviews;reasons;score;ort;adresse;telefon;maps_url;query;discovered;place_id
Vivarte by Schaub Haustechnik AG;http://www.vivarte-service.ch/;nicht unser spezialgebiet;no;HOT;4;2;;4;8;"Trust 4: 4★ × 8 Reviews — solider Proof; Gap 2: hat Website (Qualität manuell prüfen)";7;Aaweiherstrasse 3;Aaweiherstrasse 3, 8810 Horgen;044 718 20 10;https://maps.google.com/?cid=10196940018606184076&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Horgen;2026-03-06;ChIJCfMmTOiumkcRjJb81OvOgo0
Altner AG;http://www.altner.ch/;website zu modern und nicht unser spezialgebiet;no;HOT;4;2;;4.8;9;"Trust 4: 4.8★ × 9 Reviews — solider Proof; Gap 2: hat Website (Qualität manuell prüfen)";7;Seestrasse 260;Seestrasse 260, 8810 Horgen;043 244 10 00;https://maps.google.com/?cid=5908313934185875625&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Horgen;2026-03-06;ChIJ9cGkacGomkcRqcijNDiM_lE
Scherrer Bau AG;http://www.scherrer-umbau.ch/;hat Betrieb Januar 2026 eingestellt;no;HOT;4;2;;4.8;5;"Trust 4: 4.8★ × 5 Reviews — solider Proof; Gap 2: hat Website (Qualität manuell prüfen)";7;Rietwiesstrasse 38;Rietwiesstrasse 38, 8810 Horgen;044 725 98 02;https://maps.google.com/?cid=7499960183820678136&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Horgen;2026-03-06;ChIJ1SPi7ySvmkcR-HM0-gw2FWg
Massaro Bau AG;https://www.massaro.ch/;nicht unser spezialgebiet;no;HOT;4;2;;4.4;7;"Trust 4: 4.4★ × 7 Reviews — solider Proof; Gap 2: hat Website (Qualität manuell prüfen)";7;Bahnhofstrasse 15;Bahnhofstrasse 15, 8942 Oberrieden;044 720 64 15;https://maps.google.com/?cid=12691663842864599673&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Horgen;2026-03-06;ChIJM1nmzs2nmkcReRKdkgXZIbA
Campos Bau;https://www.camposbau.ch/;nicht unser spezialgebiet;no;HOT;4;2;;5;5;"Trust 4: 5★ × 5 Reviews — solider Proof; Gap 2: hat Website (Qualität manuell prüfen)";7;Mätteliweg 3;Mätteliweg 3, 8134 Adliswil;076 701 11 29;https://maps.google.com/?cid=17614926467875869069&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Horgen;2026-03-06;ChIJBWd50jMJkEcRjRFebkvKdPQ
Ferrat Sanitär AG;https://www.sanitaer-ferrat.ch/;zu weit weg, website zu modern;no;HOT;4;2;;4.2;20;"Trust 4: 4.2★ × 20 Reviews — solider Proof; Gap 2: hat Website (Qualität manuell prüfen)";7;Tuntelnstrasse 5a;Tuntelnstrasse 5a, 8707 Uetikon am See;043 843 45 00;https://maps.google.com/?cid=1873813809323909385&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Horgen;2026-03-06;ChIJtQghEY6vmkcRCSH5T7sfARo
Bardia GmbH;https://www.bardia.ch/;nicht unser spezialgebiet;no;HOT;4;2;;4.9;9;"Trust 4: 4.9★ × 9 Reviews — solider Proof; Gap 2: hat Website (Qualität manuell prüfen)";7;Einsiedlerstrasse 176;Einsiedlerstrasse 176, 8810 Horgen;079 152 80 25;https://maps.google.com/?cid=1528087120350520057&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Horgen;2026-03-06;ChIJLTUsDeypmkcR-aJXyiPbNBU
s3 GmbH - Energieberatung und HLKS-Planung;https://s3-engineering.ch/de;nicht unser spezialgebiet;no;HOT;4;2;;5;7;"Trust 4: 5★ × 7 Reviews — solider Proof; Gap 2: hat Website (Qualität manuell prüfen)";7;Oberdorfstrasse 33;Oberdorfstrasse 33, 8810 Horgen;044 244 46 44;https://maps.google.com/?cid=4038090938845437321&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Heizung Horgen;2026-03-06;ChIJlUb94tepmkcRiR2bbFAuCjg
Orlandini Sanitär Heizung GmbH;http://www.orlandini.ch/;super. Alte website, viele reviews.  Jedoch 3,8 sterne  nicht absolut top.;yes;WARM;3;2;;3.8;28;"Trust 3: 3.8★ × 28 Reviews — etwas Proof; Gap 2: hat Website (Qualität manuell prüfen)";6;Waldeggstrasse 8;Waldeggstrasse 8, 8810 Horgen;044 725 41 44;https://maps.google.com/?cid=12202004440307635099&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Horgen;2026-03-06;ChIJvZlgLDOvmkcRm5NGtGM6Vqk
AZ-Gebäudetechnik AG;http://www.az-gebaeudetechnik.ch/;website zu modern;no;WARM;3;2;;5;4;"Trust 3: 5★ × 4 Reviews — etwas Proof; Gap 2: hat Website (Qualität manuell prüfen)";6;Zugerstrasse 90;Zugerstrasse 90, 8810 Horgen;044 915 88 88;https://maps.google.com/?cid=16168702684910809033&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Horgen;2026-03-06;ChIJD1tMA82omkcRyW8DLW3FYuA
Schaub Haustechnik;https://www.schaub-haustechnik.ch/;passt zu uns;yes;WARM;3;2;;4.3;4;"Trust 3: 4.3★ × 4 Reviews — etwas Proof; Gap 2: hat Website (Qualität manuell prüfen)";6;Aaweiherstrasse 3;Aaweiherstrasse 3, 8810 Horgen;044 718 20 20;https://maps.google.com/?cid=2694042319431401699&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Horgen;2026-03-06;ChIJ6dXjrHmvmkcR4wCUQzcpYyU
Dörfler AG;http://www.doerflerag.ch/;genau das suchen wir (haben wir schon umgesetzt);yes;WARM;3;2;;4.7;3;"Trust 3: 4.7★ × 3 Reviews — etwas Proof; Gap 2: hat Website (Qualität manuell prüfen)";6;Hubstrasse 30;Hubstrasse 30, 8942 Oberrieden;043 443 52 00;https://maps.google.com/?cid=16310054616613393570&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Horgen;2026-03-06;ChIJjbcbs_KpmkcRohR2akL0WOI
EmiProfi GmbH;https://www.emiprofi.ch/;andere Seeseite;no;WARM;3;2;;5;3;"Trust 3: 5★ × 3 Reviews — etwas Proof; Gap 2: hat Website (Qualität manuell prüfen)";6;Erbstrasse;Erbstrasse, 8700 Küsnacht;078 332 95 81;https://maps.google.com/?cid=10439736040741507902&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Horgen;2026-03-06;ChIJj6-CulOnmkcRPpM98Z1k4ZA
